movie_name,ranking,score,score_num
这个杀手不太冷,1,9.4,880548
盗梦空间,2,9.3,797129
七武士,3,9.2,77792
指环王3：王者无敌,4,9.1,295754
搏击俱乐部,5,9.0,416540
蝙蝠侠：黑暗骑士,6,9.0,338014
将军号,7,9.0,7873
大话西游之月光宝盒,8,8.9,414919
指环王1：魔戒再现,9,8.9,311732
指环王2：双塔奇兵,10,8.9,278792
攻壳机动队,11,8.9,60359
V字仇杀队,12,8.8,432283
勇敢的心,13,8.8,301229
黑客帝国,14,8.8,287717
幽灵公主,15,8.8,239008
乱,16,8.8,33645
用心棒,17,8.8,14153
桥,18,8.8,11738
攻壳机动队SSS,19,8.8,9550
让子弹飞,20,8.7,634689
谍影重重3,21,8.7,181374
纵横四海,22,8.7,144761
东邪西毒：终极版,23,8.7,92653
精英部队2：大敌当前,24,8.7,45466
黑客帝国动画版,25,8.7,30926
蝙蝠侠：黑暗骑士归来(下),26,8.7,15656
铁达尼号沉没记,27,8.7,4923
阿凡达,28,8.6,534258
超能陆战队,29,8.6,364959
加勒比海盗,30,8.6,348508
东邪西毒,31,8.6,250803
英雄本色,32,8.6,161935
枪火,33,8.6,97962
小萝莉的猴神大叔,34,8.6,73087
恶童,35,8.6,47984
宾虚,36,8.6,19141
敲开天堂的门,37,8.6,9090
椿三十郎,38,8.6,8480
西线无战事,39,8.6,7361
碧血金沙,40,8.6,3933
落叶,41,8.6,3816
蝙蝠侠：黑暗骑士崛起,42,8.5,292877
被解救的姜戈,43,8.5,256844
疯狂的麦克斯4：狂暴之路,44,8.5,206126
谍影重重,45,8.5,190089
新龙门客栈,46,8.5,180388
谍影重重2,47,8.5,157700
黑客帝国3：矩阵革命,48,8.5,153004
勇闯夺命岛,49,8.5,140455
终结者2：审判日,50,8.5,139228
黑鹰坠落,51,8.5,108217
启示,52,8.5,45435
午夜狂奔,53,8.5,8141
大菩萨岭,54,8.5,5248
兽兵卫忍风帖,55,8.5,4763
盗信情缘,56,8.5,3644
死亡的游戏,57,8.5,2076
通往自由的通道,58,8.5,1618
笔中情,59,8.5,1092
王牌特工：特工学院,60,8.4,342749
速度与激情5,61,8.4,212182
变脸,62,8.4,211454
黑客帝国2：重装上阵,63,8.4,141758
罪恶之城,64,8.4,135831
角斗士,65,8.4,124652
暗战,66,8.4,114871
神探,67,8.4,106805
黄海,68,8.4,81658
王牌对王牌,69,8.4,65279
盗火线,70,8.4,65157
精武门,71,8.4,15014
杀死比尔整个血腥事件,72,8.4,10694
蜘蛛巢城,73,8.4,8936
侠女,74,8.4,7841
最长的一天,75,8.4,7139
红线,76,8.4,3971
飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,77,8.4,3569
福禄双霸天,78,8.4,1768
忍者小英雄,79,8.4,1055
速度与激情7,80,8.3,260988
金刚狼3：殊死一战,81,8.3,223497
无间道2,82,8.3,159281
买凶拍人,83,8.3,93424
热血警探,84,8.3,88066
笑傲江湖2：东方不败,85,8.3,86055
星球大战,86,8.3,61980
太极旗飘扬,87,8.3,52953
天国王朝,88,8.3,47270
星球大战3：绝地归来,89,8.3,45077
喋血双雄,90,8.3,36830
一个字头的诞生,91,8.3,31262
荒野大镖客,92,8.3,20622
阿基拉,93,8.3,20134
正义联盟：闪点悖论,94,8.3,10841
日落黄沙,95,8.3,4743
胜利之光,96,8.3,4522
战国英豪,97,8.3,3998
菜鸟总动员：毕业,98,8.3,2305
战略大作战,99,8.3,2295
飞出个未来大电影2：万背之兽,100,8.3,2204
孟菲斯美女号,101,8.3,2041
摔角狂热 30,102,8.3,1024
西游记之大圣归来,103,8.2,375930
釜山行,104,8.2,363028
碟中谍4,105,8.2,257415
X战警：逆转未来,106,8.2,253088
第九区,107,8.2,226190
霍比特人3：五军之战,108,8.2,194957
霍比特人2：史矛革之战,109,8.2,194488
蝙蝠侠：侠影之谜,110,8.2,138519
飓风营救,111,8.2,129607
星球大战前传3：西斯的复仇,112,8.2,54353
精武英雄,113,8.2,52674
星球大战2：帝国反击战,114,8.2,48565
最终幻想7：圣子降临,115,8.2,40316
雌雄大盗,116,8.2,23319
猛龙过江,117,8.2,18024
追捕,118,8.2,16457
卡桑德拉大桥,119,8.2,14796
蝙蝠侠：红影迷踪,120,8.2,6575
白色严冬,121,8.2,6522
奏鸣曲,122,8.2,6404
老人Z,123,8.2,5337
关山飞渡,124,8.2,4495
机动警察剧场版1,125,8.2,3759
桃色血案,126,8.2,3614
天与地,127,8.2,2764
迎春阁之风波,128,8.2,2513
红河,129,8.2,1489
疤面人,130,8.2,1305
变形金刚,131,8.1,241178
霍比特人1：意外之旅,132,8.1,225023
加勒比海盗2：聚魂棺,133,8.1,198464
银河护卫队2,134,8.1,195419
杀死比尔,135,8.1,193510
X战警：第一战,136,8.1,184515
国产凌凌漆,137,8.1,161188
铁甲钢拳,138,8.1,160495
罗拉快跑,139,8.1,152013
师父,140,8.1,147571
孤胆特工,141,8.1,118786
空中监狱,142,8.1,112101
真实的谎言,143,8.1,98191
守望者,144,8.1,71880
国家公敌,145,8.1,71620
英雄本色2,146,8.1,54255
虎胆龙威,147,8.1,46845
第一滴血,148,8.1,44472
怒火救援,149,8.1,41172
监狱风云,150,8.1,40505
西北偏北,151,8.1,38900
夺宝奇兵3,152,8.1,34269
处刑人,153,8.1,33209
枪王,154,8.1,32819
野战排,155,8.1,24680
爱国者,156,8.1,23300
喋血街头,157,8.1,20574
双旗镇刀客,158,8.1,16835
爱的曝光,159,8.1,15827
小倩,160,8.1,13650
龙争虎斗,161,8.1,11354
虎！虎！虎！,162,8.1,10448
遥远的桥,163,8.1,3667
痛击,164,8.1,3423
变形金刚大电影,165,8.1,3361
山中传奇,166,8.1,3272
大饭店,167,8.1,2705
跳跃大搜查线：湾岸署史上最恶的3日间,168,8.1,2402
血染雪山堡,169,8.1,1783
忠烈图,170,8.1,1494
太秦灯光下,171,8.1,1205
湄公河行动,172,8.0,355587
复仇者联盟,173,8.0,320932
功夫,174,8.0,278044
功夫熊猫2,175,8.0,266390
银河护卫队,176,8.0,246747
猩球崛起,177,8.0,244022
明日边缘,178,8.0,243402
后天,179,8.0,210301
加勒比海盗3：世界的尽头,180,8.0,185679
树大招风,181,8.0,117102
暗杀,182,8.0,109862
暴力街区,183,8.0,75893
天生杀人狂,184,8.0,75711
秘密特工,185,8.0,74926
勇敢者的游戏,186,8.0,74608
生死时速,187,8.0,72171
星球大战前传1：幽灵的威胁,188,8.0,61632
未知死亡,189,8.0,54694
乐高蝙蝠侠大电影,190,8.0,33011
孤独的幸存者,191,8.0,30549
天若有情,192,8.0,28865
座头市,193,8.0,25561
囚室211,194,8.0,25267
亡命天涯,195,8.0,21354
魁拔Ⅲ战神崛起,196,8.0,19631
刀,197,8.0,18363
实尾岛,198,8.0,17734
飞天小女警 剧场版,199,8.0,16663
蝙蝠侠：黑暗骑士归来(上),200,8.0,13648
少年菀得,201,8.0,10578
佐罗,202,8.0,10380
龙门客栈,203,8.0,6150
新独臂刀,204,8.0,5001
野鹅敢死队,205,8.0,4979
蝙蝠侠：元年,206,8.0,4395
天劫余生,207,8.0,3677
侠僧探案传奇之大夜叉,208,8.0,2668
笑破铁幕,209,8.0,2639
血洗鳄鱼仇,210,8.0,1682
功夫熊猫,211,7.9,296386
美国队长2,212,7.9,216109
卧虎藏龙,213,7.9,174962
疯狂的赛车,214,7.9,173373
黑衣人,215,7.9,156070
星际迷航2：暗黑无界,216,7.9,149762
我，机器人,217,7.9,140368
独立日,218,7.9,137726
超人总动员,219,7.9,128975
碟中谍,220,7.9,127416
第五元素,221,7.9,126329
十一罗汉,222,7.9,104092
星际迷航,223,7.9,98643
终结者,224,7.9,96322
黄飞鸿,225,7.9,61318
异形2,226,7.9,60958
危情三日,227,7.9,59893
狗咬狗,228,7.9,41681
少林寺,229,7.9,35905
精英部队,230,7.9,27465
决战犹马镇,231,7.9,23970
猎杀U-571,232,7.9,23111
僵尸先生,233,7.9,19261
警戒结束,234,7.9,18516
斯巴达克斯,235,7.9,6236
红潮风暴,236,7.9,5711
洛奇3,237,7.9,5198
势不两立,238,7.9,4097
省港旗兵4：地下通道,239,7.9,2720
飞出个未来大电影3：班德的游戏,240,7.9,2527
跳跃大搜查线最终篇：新的希望,241,7.9,2152
天与地,242,7.9,2092
报仇,243,7.9,1799
第一类型危险,244,7.9,1656
达摩祖师,245,7.9,1636
猫头鹰,246,7.9,1576
众神与将军,247,7.9,1261
击沉俾斯麦号！,248,7.9,1094
铁十字勋章,249,7.9,1042
一代宗师,250,7.8,286759
钢铁侠,251,7.8,219869
X战警：天启,252,7.8,196535
食神,253,7.8,187094
金刚,254,7.8,171598
变相怪杰,255,7.8,150257
鹿鼎记,256,7.8,137120
无间道3：终极无间,257,7.8,129804
杀死比尔2,258,7.8,120188
